name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
Matter_Of_Time_-_Adam_Scott_York100,14228,0.08022814764492754,0.33614606,-6.2318435,-235.42311,124.81524,1.2921811,20.294382,-11.435947,9.9609165,-13.182671,7.631988,-7.087775,8.375209,-6.734161,3.4837153,-7.6485105,0.32999638,-8.791754,-0.14396288,-10.97325,3.4856184,-7.0259833,4.141015
045-118887-Emcee Lynx-summertimewav10,27230,0.1536330955615942,0.41252416,-1.3653171,-144.82156,62.588776,0.2047928,39.95916,8.009143,11.057136,-12.842129,7.2361608,-10.1569805,7.5763245,-11.6584215,6.5479937,-2.7785378,1.6093439,-6.9279184,13.487826,-6.5968,4.9684525,-0.5676347,5.7985344
039-1816401-Doctor Frost-Different Me feat. Fega Michaels _Guitar by Cmdt. Guile_20,17584,0.09921308876811594,0.30917388,-2.1101973,-157.25134,94.4456,1.0296216,8.14386,-16.325325,-0.76020145,-6.679563,18.320318,-11.174618,20.287344,3.1864078,3.0461733,-0.9749741,1.5462304,-8.263343,1.4629809,-7.972347,3.3704484,2.370037,9.988745
044-111126-Coehn_Foehrb-Erich kommt rein30,15964,0.09003764719202899,0.5024284,2.1173375,-145.56506,87.11263,11.977381,29.54875,-0.73686296,20.111364,-6.361662,14.686332,-1.3194959,9.835191,-4.0972657,15.178831,-1.8605822,5.5272365,-2.4320436,8.628018,-7.268891,5.464615,-0.8969767,4.815243
036-1781363-Shon Tha Phenom-Early40,9015,0.050931272644927535,0.54507643,6.042285,-140.55943,131.09189,-3.210297,36.19901,22.072271,15.521486,4.2158036,13.775546,-7.4269004,14.562626,2.0090609,4.9274106,4.426173,4.0473366,-0.83685887,4.510939,3.9605234,11.872602,-4.1021457,3.788657
051-190869-Cartel-Pourin Moe by The East Side Hustlas50,14691,0.0830375339673913,0.39409903,4.151109,-128.42424,109.414536,-18.187628,35.353977,-0.16180316,18.606785,4.4951825,17.037035,-2.95227,4.588045,0.3992631,14.255606,1.5984643,3.642008,-3.9431314,9.818587,-0.18815242,12.717688,1.0920851,3.860152
046-128881-P.Yo-Movi _e Chiappe60,19467,0.11002462635869566,0.44005302,-1.6365623,-175.86363,99.563995,-8.371138,14.97645,17.503706,8.879962,-14.044209,6.8820724,-3.5412068,14.54375,-9.278342,9.087465,-1.2207015,2.5346699,-2.63647,9.5330715,-6.2976704,4.9663353,-3.6297624,3.6804073
038-1564155-Wordsmith-On the Come Up70,22984,0.1296294723731884,0.319314,4.592703,-77.06511,77.13689,7.780977,18.405323,6.276833,4.327749,-3.6810045,20.444027,-4.716538,16.924093,-9.81927,4.553154,-4.0313764,7.619992,-3.717129,9.99171,0.15358178,11.04971,-2.710839,12.931291
037-1837563-Ralph Da God-Big Spenders80,28084,0.1583800384963768,0.43073463,4.053795,-106.546875,75.75702,-7.9123707,9.750334,8.697888,19.127895,0.4188261,30.1153,1.857324,16.538004,-3.510791,5.442511,0.6024933,16.10488,0.5615056,9.658945,-5.2281637,8.805401,-4.053938,4.889711
002-1983375-Buck Slenderly-Balance _Produced by Lazuli_90,7491,0.04233610733695652,0.4147799,2.4290745,-219.18718,128.89052,32.43118,36.49573,17.125809,17.714813,7.4831047,9.333325,-1.1776103,9.233579,-3.797621,2.456085,-7.436688,9.830021,-2.8138762,6.6533685,-1.2014691,5.3231015,-2.6629524,3.8882523
001-1984534-Shon Tha Phenom-Alright Anyway Ft. Taelor Gray100,11528,0.06515794836956522,0.47351,0.0820038,-229.04906,115.14636,29.165022,51.262,13.702625,-1.4833965,14.304782,10.965477,-8.539598,14.582479,-15.085932,3.1302094,2.249688,-2.7961762,-1.0101972,4.5985193,-4.27063,5.612851,-0.66997993,-0.17497279
Frank_Rawel_-_To_The_Warmth10,12624,0.07130321557971014,0.278352,-1.8856745,-187.55508,122.43251,10.241478,20.982147,0.21475254,21.64213,-3.252185,5.319594,-11.032563,-3.4313917,-10.671347,4.948828,-5.376393,6.2400723,-9.5871,-1.1459849,-8.363281,9.388956,-1.3232684,2.6146407
Midnight_lady_-_Christian_Petermann20,5557,0.03138586956521739,0.34030652,-0.310596,-299.29312,196.04993,16.319078,46.96996,-1.3896616,16.809944,-2.6014645,1.4759811,3.0839834,3.843937,1.3254029,2.9560394,0.81872946,5.9522085,5.1904693,1.3617368,-2.795562,1.829026,-3.0019438,-1.116589
Tamanchini_-_Christian_Petermann30,6091,0.034414628623188406,0.26418358,-4.6322603,-330.751,187.10963,30.836502,21.768372,3.4464638,4.833571,-7.2670975,4.068438,-5.32214,-4.235337,-8.319202,0.88477165,-1.7833245,7.3898044,3.978457,3.216012,-2.0938952,2.9695637,-0.91674507,-2.4580436
